Variable,Full Name,Category,Input Signal,Formula,Unit,Description,Clinical Relevance
range_y,Range of Y-axis acceleration,Temporal,y(t),max(y) - min(y),g,Peak-to-peak amplitude of vertical acceleration,Reflects the total vertical oscillation amplitude per walking window
range_z,Range of Z-axis acceleration,Temporal,z(t),max(z) - min(z),g,Peak-to-peak amplitude of antero-posterior acceleration,Captures the amplitude of the forward-backward acceleration cycle
range_mag,Range of acceleration magnitude,Temporal,"x(t), y(t), z(t)",max(mag) - min(mag),g,Peak-to-peak amplitude of resultant acceleration,Total dynamic range of movement intensity within the window
max_x,Maximum X-axis acceleration,Temporal,x(t),max(x),g,Peak value of medio-lateral acceleration,Represents the maximum lateral impulse during the window
max_y,Maximum Y-axis acceleration,Temporal,y(t),max(y),g,Peak value of vertical acceleration,Represents the maximum vertical impact force proxy during heel strike
max_z,Maximum Z-axis acceleration,Temporal,z(t),max(z),g,Peak value of antero-posterior acceleration,Represents the maximum forward propulsion impulse
max_mag,Maximum acceleration magnitude,Temporal,"x(t), y(t), z(t)",max(sqrt(x²+y²+z²)),g,Peak resultant acceleration across all axes,Reflects the highest movement intensity event within the window
min_x,Minimum X-axis acceleration,Temporal,x(t),min(x),g,Minimum value of medio-lateral acceleration,Captures the maximum lateral deceleration or opposing motion
min_y,Minimum Y-axis acceleration,Temporal,y(t),min(y),g,Minimum value of vertical acceleration,Captures the lowest vertical acceleration point in the gait cycle
min_z,Minimum Z-axis acceleration,Temporal,z(t),min(z),g,Minimum value of antero-posterior acceleration,Captures the maximum braking phase in the forward direction
min_mag,Minimum acceleration magnitude,Temporal,"x(t), y(t), z(t)",min(sqrt(x²+y²+z²)),g,Minimum resultant acceleration across all axes,Reflects the quietest movement phase within the window
q25_mag,25th percentile of acceleration magnitude,Temporal,"x(t), y(t), z(t)",percentile(mag; 25),g,Lower quartile of the magnitude distribution,Represents the intensity level below which 25% of motion samples fall
q50_mag,Median of acceleration magnitude,Temporal,"x(t), y(t), z(t)",percentile(mag; 50),g,Median of the magnitude distribution,Robust central tendency of movement intensity; less sensitive to outlier peaks
q75_mag,75th percentile of acceleration magnitude,Temporal,"x(t), y(t), z(t)",percentile(mag; 75),g,Upper quartile of the magnitude distribution,Represents the intensity level below which 75% of motion samples fall
cv_mag,Coefficient of variation of acceleration magnitude,Temporal,"x(t), y(t), z(t)",std(mag) / (mean(mag) + eps),dimensionless,Normalized variability of the magnitude signal,Allows cross-subject comparison of motion variability independent of absolute intensity level
rms_x,Root mean square of X-axis acceleration,Temporal,x(t),sqrt(mean(x²)),g,Effective amplitude of medio-lateral acceleration,Combines mean and variability into a single energy-related descriptor
rms_y,Root mean square of Y-axis acceleration,Temporal,y(t),sqrt(mean(y²)),g,Effective amplitude of vertical acceleration,Relates to the energetic cost of vertical oscillation during walking
rms_z,Root mean square of Z-axis acceleration,Temporal,z(t),sqrt(mean(z²)),g,Effective amplitude of antero-posterior acceleration,Reflects propulsive effort in the walking direction
rms_mag,Root mean square of acceleration magnitude,Temporal,"x(t), y(t), z(t)",sqrt(mean(mag²)),g,Effective overall signal amplitude across all axes,Proportional to the mechanical power exerted during walking; increases with gait speed
mean_jerk,Mean jerk magnitude,Movement,"x(t), y(t), z(t)",mean(||da/dt||),g/s,Mean of the resultant jerk magnitude computed as the temporal derivative of acceleration,Quantifies average movement smoothness; higher values indicate more abrupt or irregular motion patterns associated with altered gait control
std_jerk,Standard deviation of jerk magnitude,Movement,"x(t), y(t), z(t)",std(||da/dt||),g/s,Dispersion of jerk magnitude values around the mean,Reflects the consistency of movement smoothness; elevated in unsteady or irregular gait
max_jerk,Maximum jerk magnitude,Movement,"x(t), y(t), z(t)",max(||da/dt||),g/s,Peak jerk magnitude within the window,Captures the most abrupt acceleration change; sensitive to sudden movement transitions or foot strikes
min_jerk,Minimum jerk magnitude,Movement,"x(t), y(t), z(t)",min(||da/dt||),g/s,Minimum jerk magnitude within the window,Represents the smoothest phase of motion within the walking segment
sma,Signal Magnitude Area,Movement,"x(t), y(t), z(t)",(sum(|x|) + sum(|y|) + sum(|z|)) / N,g,Normalized sum of absolute acceleration values across all axes,Global activity level descriptor; distinguishes active gait from low-movement or stationary states
zcr_x,Zero-crossing rate of X-axis,Movement,x(t),sum(sign(x[i]) != sign(x[i-1])),count,Number of times the X-axis signal crosses zero within the window,Reflects oscillation frequency of lateral motion; indirectly related to step cadence
zcr_y,Zero-crossing rate of Y-axis,Movement,y(t),sum(sign(y[i]) != sign(y[i-1])),count,Number of times the Y-axis signal crosses zero within the window,Correlates with vertical oscillation frequency; sensitive to walking cadence changes
zcr_z,Zero-crossing rate of Z-axis,Movement,z(t),sum(sign(z[i]) != sign(z[i-1])),count,Number of times the Z-axis signal crosses zero within the window,Reflects the frequency of forward-backward acceleration reversals per window
zcr_mag,Zero-crossing rate of centered magnitude,Movement,"x(t), y(t), z(t)",sum(sign(mag[i]-mean(mag)) != sign(mag[i-1]-mean(mag))),count,Zero crossings of the magnitude signal centered around its mean,Captures the oscillation frequency of overall motion intensity around its average level
energy_x,Signal energy of X-axis,Movement,x(t),sum(x²),g²,Total energy of the medio-lateral acceleration signal,Reflects the mechanical energy expended in lateral motion during the window
energy_y,Signal energy of Y-axis,Movement,y(t),sum(y²),g²,Total energy of the vertical acceleration signal,Proportional to vertical mechanical energy; increases with stride amplitude and speed
energy_z,Signal energy of Z-axis,Movement,z(t),sum(z²),g²,Total energy of the antero-posterior acceleration signal,Reflects propulsive energy expenditure in the walking direction
energy_mag,Signal energy of magnitude,Movement,"x(t), y(t), z(t)",sum(mag²),g²,Total energy of the resultant acceleration signal,Combined kinetic energy proxy across all motion axes; increases consistently with gait speed
dominant_power,Power at dominant frequency,Spectral,"x(t), y(t), z(t)",FFT(mag)[argmax(FFT(mag))],g,Spectral amplitude at the frequency with the highest FFT magnitude,Reflects the intensity of the most periodic component in the gait signal; typically corresponds to the fundamental step frequency
spectral_energy,Total spectral energy,Spectral,"x(t), y(t), z(t)",sum(FFT(mag)²),g²,Sum of squared FFT coefficients across all positive frequencies,Represents the total frequency-domain energy of the motion signal
power_tremor_band,Power in tremor frequency band,Spectral,"x(t), y(t), z(t)",sum(FFT(mag)² for f in [4-6 Hz]),g²,Spectral power in the 4-6 Hz frequency band,Captures energy in the Parkinsonian rest tremor frequency range; clinically relevant for tremor quantification
power_low_freq,Power in low-frequency band,Spectral,"x(t), y(t), z(t)",sum(FFT(mag)² for f in [0.5-3 Hz]),g²,Spectral power in the 0.5-3 Hz frequency band,Associated with the fundamental locomotor rhythm; dominant during normal and slow walking
power_mid_freq,Power in mid-frequency band,Spectral,"x(t), y(t), z(t)",sum(FFT(mag)² for f in [3-8 Hz]),g²,Spectral power in the 3-8 Hz frequency band,Overlaps with the freezing-of-gait detection band; second most important feature for gait classification
power_high_freq,Power in high-frequency band,Spectral,"x(t), y(t), z(t)",sum(FFT(mag)² for f in [8-15 Hz]),g²,Spectral power in the 8-15 Hz frequency band,Associated with high-frequency impact components; may reflect heel strike intensity
spectral_entropy,Spectral entropy,Spectral,"x(t), y(t), z(t)",H = sum(P_i * log2(P_i + eps)) * (-1); P_i = FFT_i / sum(FFT),bits,Measure of disorder in the frequency distribution of the signal,Lower in rhythmic and regular gait; higher in irregular or pathological walking patterns
spectral_centroid,Spectral centroid,Spectral,"x(t), y(t), z(t)",sum(f * FFT(mag)) / sum(FFT(mag)),Hz,Frequency-weighted mean of the power spectrum,Shifts toward higher frequencies with increasing gait speed; reflects the dominant oscillation rate
spectral_spread,Spectral spread,Spectral,"x(t), y(t), z(t)",sqrt(sum((f - centroid)² * FFT) / sum(FFT)),Hz,Dispersion of spectral energy around the centroid frequency,Reflects the bandwidth of the dominant gait rhythm; wider spread indicates less periodic motion
freeze_index,Freeze Index,FoG,"x(t), y(t), z(t)",power(3-8 Hz) / (power(0.5-3 Hz) + eps),dimensionless,Ratio of freeze-band power to locomotor-band power,Key indicator used in Freezing of Gait detection; increases significantly during FoG episodes
locomotor_power,Locomotor band power,FoG,"x(t), y(t), z(t)",sum(FFT(mag)² for f in [0.5-3 Hz]),g²,Spectral power in the locomotor frequency band (0.5-3 Hz),Energy of the rhythmic walking pattern; decreases during FoG episodes and in bradykinetic gait
freeze_power,Freeze band power,FoG,"x(t), y(t), z(t)",sum(FFT(mag)² for f in [3-8 Hz]),g²,Spectral power in the freezing-of-gait frequency band (3-8 Hz),Increases relative to locomotor power during gait freezing; among the top-ranked features for gait classification
cadence_spm,Cadence in steps per minute,FoG,"x(t), y(t), z(t)",N_peaks * (60 / window_duration),steps/min,Estimated step rate derived from peaks detected in a bandpass-filtered (0.5-3 Hz) magnitude signal,Reduced cadence is a hallmark of bradykinetic gait in Parkinson's disease
step_regularity,Step regularity,FoG,"x(t), y(t), z(t)",std(inter-peak intervals),s,Standard deviation of the time intervals between consecutive detected steps,Elevated values indicate temporal irregularity of the step rhythm; a sensitive marker of gait impairment
freeze_ratio,Freeze ratio,FoG,"x(t), y(t), z(t)",power(3-8 Hz) / (power(3-8 Hz) + power(0.5-3 Hz) + eps),dimensionless,Normalized contribution of the freeze band relative to combined locomotor and freeze band power,Bounded between 0 and 1; facilitates cross-subject comparison of freezing tendency without scale dependency
steps_10s,Steps counted in 10-second window,Step Counter,Hardware BMA423 DSP,BMA423 embedded step counter (hardware DSP),steps,Number of steps detected by the accelerometer embedded digital signal processor within the 10-second window,Direct cadence descriptor acquired at hardware level; complements software-estimated cadence from peak detection
numSamples,Number of samples in window,Acquisition Metadata,Raw samples,len(samples),count,Total number of accelerometer data points recorded within the 10-second capture window,Reflects the effective sampling rate achieved during acquisition; used for data quality control and normalization
